"","cohort_id","cohort_type","tot_cases_n","WBC_med","WBC_min","WBC_max","data_descr"
"1","Belhadjer (n = 35)","MIS-C",35,16000,12000,23000,"IQR"
"2","Whittaker (n = 58)","MIS-C",58,17000,12000,22000,"IQR"
"3","Whittaker - histor. KD (n = 1132)","histor. KD",1132,13400,10500,17300,"IQR"
"4","Miller (n = 44)","MIS-C",44,9680,NA,NA,"IQR"
"5","Toubiana (n = 21)","MIS-C",21,17400,NA,NA,"IQR"
"6","Cheung (n = 17)","MIS-C",17,14000,NA,NA,"IQR"
"7","Ramcharan (n = 15)","MIS-C",15,NA,NA,NA,"IQR"
"8","Pouletty - severe (n = 7)","MIS-C",7,12700,11700,30000,"IQR"
"9","Pouletty - nonsevere (n = 9)","MIS-C",9,9700,9700,11900,"IQR"
"10","Pouletty - histor. KD (n = 220)","histor. KD",220,NA,NA,NA,"IQR"
"11","Dufort 0-5y (n = 31)","MIS-C",31,11200,7400,14800,"IQR"
"12","Dufort 6-12y (n = 42)","MIS-C",42,9100,6400,13700,"IQR"
"13","Dufort 13-20y (n = 26)","MIS-C",26,10900,8000,14000,"IQR"
"14","Feldstein (n = 186)","MIS-C",186,NA,NA,NA,"IQR"
"15","Hameed (n = 35)","MIS-C",35,12000,10500,17200,"IQR"
"16","Capone (n = 33)","MIS-C",33,9140,7190,12330,"IQR"
"17","Kaushik (n = 33)","MIS-C",33,11000,8450,14400,"IQR"
"18","Diorio (n = 6)","MIS-C",6,NA,NA,NA,"IQR"
"19","Moraleda (n = 31)","MIS-C",31,9560,7365,17850,"IQR"
"20","Dhanalakshmi (n = 19)","MIS-C",19,NA,NA,NA,"IQR"
"21","Lee (n = 28)","MIS-C",28,8100,5100,13000,"IQR"
"22","Davies (n = 78)","MIS-C",78,NA,NA,NA,"IQR"
"23","Weisberg (n = 15)","MIS-C",15,NA,NA,NA,"IQR"
"24","Swann (n = 36)","MIS-C",36,10100,7800,14300,"IQR"
"25","Swann - COVID19 (n = 267)","COVID19",267,9100,6000,13800,"IQR"
"26","Rostad (n = 10)","MIS-C",10,7900,6100,14000,"IQR"
